Recipe_Id,Step,Desc
58,6,Store in an air-tight container.
59,1,"Combine the sugar and vanilla essence in a broad non-stick pan and cook on a medium flame for 5 to 7 minutes or till the sugar melts, while stirring continuously."
59,2,"Remove from the flame, add the almonds and mix well."
59,3,Spread the mixture on a greased flat surface and allow it to cool and harden.
59,4,Scrape it out using a palate knife and coarsely powder it using a mortar-pestle (khalbatta).
59,5,Store in an air-tight container and use as required.
60,1,Melt the sugar in a pan on a slow flame.
60,2,"Carefully take a little sugar syrup with the laddle, place it on your thumb, press your index finger against it and check if you get a 1-string consistency. If so, then syrup is ready and if not, then continue cooking , while stirring continuously till you get a 1-string consistency."
60,3,"Once it has melted, add the coarsely ground cashewnuts and mix well to make the praline."
60,4,Grease a flat rolling board with a little oil.
60,5,Pour the mixture on the greased flat surface and roll it with the greased rolling pin so as to get a thin layer. Do not touch the praline at this point as it will be really hot and can cause serious burns.
60,6,"To make small triangles, cut parallel lines at a distance of 25 mm. (1"") with the help of a knife or a metal dough cutter."
60,7,Then cut the praline diagonally to form a triangle. Make 6 such triangles and keep aside.
60,8,Crush the remaining praline coarsely with a rolling pin. Keep aside.
61,1,Spread the almond slices evenly in a plate and microwave on high for 2 minutes or until light pink in colour. Keep aside to cool.
61,2,"Put the chocolate into a small microwave safe bowl and microwave on high for 3 minutes, stirring once in between after 1½ minutes."
61,3,Remove from the microwave and continuously stir the chocolate until it cools a little.
61,4,Add the almonds and mix well.
61,5,Put small pieces of coated almonds on a tray lined with grease-proof paper or aluminium foil. Keep in the refrigerator for 2 hours.
61,6,Wrap each rock in a decorative foil and store in the refrigerator.
62,1,Spread the almond slices evenly in a plate and microwave on high for 2 minutes or until light pink in colour. Keep aside to cool.
62,2,"Put the chocolate into a small microwave safe bowl and microwave on high for 3 minutes, stirring once in between after 1½ minutes."
62,3,Remove from the microwave and continuously stir the chocolate until it cools a little.
62,4,Add the almonds and mix well.
62,5,Put small pieces of coated almonds on a tray lined with grease-proof paper or aluminium foil. Keep in the refrigerator for 2 hours.
62,6,Wrap each rock in a decorative foil and store in the refrigerator.
63,1,"To blanch the almonds, soak them in enough hot water in a bowl for at least 8 to 10 minutes."
63,2,Drain and refresh using some cold water and peel them.
63,3,Add ½ cup of milk and blend in a mixer to a smooth paste.
63,4,"Heat the ghee in a broad non-stick pan, add the almond paste, mix well and cook over a medium flame for 4 to 5 minutes or till it turns light pink in colour, while stirring continuously"
63,5,"Add the remaining ½ cup of milk and ¼ cup of water, mix well and simmer for 3 to 4 minutes, while stirring continuously"
63,6,"Add the sugar, cardamom powder and saffron mixture and cook on a medium flame for 6 to 7 minutes or till the sugar dissolves and the ghee separates, while stirring continuously. Keep aside to cool slightly."
63,7,Garnish with almond slivers and serve lukewarm or refrigerate and serve chilled.
64,1,"Soak the almonds in hot water for 20 minutes, drain and remove the skin."
64,2,Blend the almonds in a mixer till coarse. Keep aside.
64,3,"Heat the butter in a deep non-stick pan, add the plain flour and sauté on a medium flame for 30 seconds."
64,4,"Add the almond coarse paste, white stock and salt, mix well and cook on a medium flame for 3 to 4 minutes, while stirring occasionally."
64,5,"Add the fresh cream, salt and pepper and mix well."
64,6,Serve hot garnished with almond slivers.
65,1,"Cream the butter and sugar on a flat surface with your palm, until it is light and creamy. (refer to diagram on page 40 )"
65,2,Add the vanilla essence and mix well.
65,3,Add the flour and almond powder and gradually continue mixing till it forms a soft dough. Refrigerate for 15 minutes.
65,4,Divide the dough into 6 equal portions and roll each portion on a dusted rolling board into 100mm. (4”) diameter circle.
65,5,Prick all over the circle gently and bake in a pre-heated oven at 150°c (300°f) for 20 to 25 minutes or till it turns light brown in colour. Keep aside
