recipe_id,step,description
59,6,Store in an air-tight container.
60,1,"Combine the sugar and vanilla essence in a broad non-stick pan and cook on a medium flame for 5 to 7 minutes or till the sugar melts, while stirring continuously."
60,2,"Remove from the flame, add the almonds and mix well."
60,3,Spread the mixture on a greased flat surface and allow it to cool and harden.
60,4,Scrape it out using a palate knife and coarsely powder it using a mortar-pestle (khalbatta).
60,5,Store in an air-tight container and use as required.
61,1,Melt the sugar in a pan on a slow flame.
61,2,"Carefully take a little sugar syrup with the laddle, place it on your thumb, press your index finger against it and check if you get a 1-string consistency. If so, then syrup is ready and if not, then continue cooking , while stirring continuously till you get a 1-string consistency."
61,3,"Once it has melted, add the coarsely ground cashewnuts and mix well to make the praline."
61,4,Grease a flat rolling board with a little oil.
61,5,Pour the mixture on the greased flat surface and roll it with the greased rolling pin so as to get a thin layer. Do not touch the praline at this point as it will be really hot and can cause serious burns.
61,6,"To make small triangles, cut parallel lines at a distance of 25 mm. (1"") with the help of a knife or a metal dough cutter."
61,7,Then cut the praline diagonally to form a triangle. Make 6 such triangles and keep aside.
61,8,Crush the remaining praline coarsely with a rolling pin. Keep aside.
62,1,Spread the almond slices evenly in a plate and microwave on high for 2 minutes or until light pink in colour. Keep aside to cool.
62,2,"Put the chocolate into a small microwave safe bowl and microwave on high for 3 minutes, stirring once in between after 1½ minutes."
62,3,Remove from the microwave and continuously stir the chocolate until it cools a little.
62,4,Add the almonds and mix well.
62,5,Put small pieces of coated almonds on a tray lined with grease-proof paper or aluminium foil. Keep in the refrigerator for 2 hours.
62,6,Wrap each rock in a decorative foil and store in the refrigerator.
63,1,Spread the almond slices evenly in a plate and microwave on high for 2 minutes or until light pink in colour. Keep aside to cool.
63,2,"Put the chocolate into a small microwave safe bowl and microwave on high for 3 minutes, stirring once in between after 1½ minutes."
63,3,Remove from the microwave and continuously stir the chocolate until it cools a little.
63,4,Add the almonds and mix well.
63,5,Put small pieces of coated almonds on a tray lined with grease-proof paper or aluminium foil. Keep in the refrigerator for 2 hours.
63,6,Wrap each rock in a decorative foil and store in the refrigerator.
64,1,"To blanch the almonds, soak them in enough hot water in a bowl for at least 8 to 10 minutes."
64,2,Drain and refresh using some cold water and peel them.
64,3,Add ½ cup of milk and blend in a mixer to a smooth paste.
64,4,"Heat the ghee in a broad non-stick pan, add the almond paste, mix well and cook over a medium flame for 4 to 5 minutes or till it turns light pink in colour, while stirring continuously"
64,5,"Add the remaining ½ cup of milk and ¼ cup of water, mix well and simmer for 3 to 4 minutes, while stirring continuously"
64,6,"Add the sugar, cardamom powder and saffron mixture and cook on a medium flame for 6 to 7 minutes or till the sugar dissolves and the ghee separates, while stirring continuously. Keep aside to cool slightly."
64,7,Garnish with almond slivers and serve lukewarm or refrigerate and serve chilled.
65,1,"Soak the almonds in hot water for 20 minutes, drain and remove the skin."
65,2,Blend the almonds in a mixer till coarse. Keep aside.
65,3,"Heat the butter in a deep non-stick pan, add the plain flour and sauté on a medium flame for 30 seconds."
65,4,"Add the almond coarse paste, white stock and salt, mix well and cook on a medium flame for 3 to 4 minutes, while stirring occasionally."
65,5,"Add the fresh cream, salt and pepper and mix well."
65,6,Serve hot garnished with almond slivers.
66,1,"Cream the butter and sugar on a flat surface with your palm, until it is light and creamy. (refer to diagram on page 40 )"
66,2,Add the vanilla essence and mix well.
66,3,Add the flour and almond powder and gradually continue mixing till it forms a soft dough. Refrigerate for 15 minutes.
66,4,Divide the dough into 6 equal portions and roll each portion on a dusted rolling board into 100mm. (4”) diameter circle.
66,5,Prick all over the circle gently and bake in a pre-heated oven at 150°c (300°f) for 20 to 25 minutes or till it turns light brown in colour. Keep aside
67,1,"Heat a non-stick pan, add the sesame seeds and almonds and roast over a slow flame till they turn light golden in colour. Remove and keep aside to cool.   "
67,2,"Heat the ghee in the same pan, add the jaggery and simmer over a slow flame while stirring continuously, till the jaggery melts and caramelizes and forms a hard ball when you add a drop in a bowlful of cold water. Remove from the flame.  "
67,3,Add the roasted sesame seeds and almonds and mix thoroughly. 
67,4,"When slightly cool, divide the mixture into 10 equal pieces and shape each portion into rounds or mould into desire shapes, using different moulds or cookie cutters as shown in the picture."
67,5,Cool completely and store in an air-tight container.
67,1,Roast the sesame seeds for a few minutes over a medium flame till they are light golden in colour. Cool and keep aside. Repeat with the almonds.
67,2,Grease the back of a flat thali or a stone surface with a little ghee and keep aside.
67,3,Heat the ghee in a pan and add the jaggery.
67,4,Simmer over a slow flame while stirring continuously till the jaggery melts and caramelizes and forms a hard ball when you add a drop in cold water. Remove from the flame.
67,5,Add the roasted sesame seeds and almonds and mix thoroughly with the melted jaggery. You may need to put off the flame during this process.
67,6,"When the mixture is ready, pour the entire mixture over the greased thali or a smooth stone surface. Roll the chikki out into thin sheets using a greased rolling pin."
67,7,"When cool, cut into square pieces. Store in an air-tight container."
68,1,"Heat the oil in a wok on a high flame, add the red chilli pieces and stir till it turns black. Remove and discard the chilli pieces."
68,2,Add the ginger and  garlic in the same oil and stir-fry for a minute.
68,3,"Add the carrots, green capsicum, sweet corn kernels, bean sprouts, spring onion whites and stir-fry for a couple of minutes."
68,4,"Add the mushrooms, paneer, chinese cabbage and spring onion greens and stir-fry for 3 to 4 minutes."
68,5,"Add vegetable stock, salt and pepper and bring to a boil."
68,6,Add the cornflour mixture and heat till the mixture thickens.
68,7,"Add the almond slices, mix gently and serve immediately on a bed of cooked whole wheat noodles."
69,1,"Heat the oil in a broad non-stick pan, add the potatoes and cook on a medium flame for 3 to 4 minutes or till the potatoes are brown in colour."
69,2,"Add the remaining ingredients, mix well and cook on a medium flame for 1 to 2 minutes."
69,3,Serve hot garnished with coriander.
70,1,"Combine the curds, rajgira flour, salt and 1 cup of water in a deep bowl, whisk well and keep aside."
70,2,"Heat the oil in a deep non-stick pan, add the cumin seeds and sauté on a medium flame for 30 seconds."
70,3,"Add the curd-water mixture, potatoes, kand, green chilli paste and sugar, mix gently and cook on a medium flame for 8 minutes, while stirring occasionally."
70,4,Add the coriander and mix well.
70,5,Serve hot.
71,1,Combine all the ingredients in a deep bowl and knead into a soft dough using enough water.
71,2,Divide the dough into 6 equal portions and roll each portion into a 125 mm. (5”) diameter circle using little whole wheat flour for rolling.
71,3,Heat a non-stick tava (griddle) and semi-cook the rotis and keep aside.
72,1,"Heat the ghee in a broad non-stick pan, add the bay leaf, cinnamon, clove, cardamom, nigella seeds, mustard seeds and fenugreek seeds and sauté on a medium flame for a few seconds."
72,2,"When the seeds crackle, add the curds, asafoetida, chilli powder, coriander-cumin seeds powder and turmeric powder and sauté on a medium flame for 30 seconds."
72,3,"Add the tomatoes and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
72,4,"Add the potatoes, pumpkin and ½ cup of water, mix well, cover and cook on a slow flame for 15 to 20 minutes or until the potatoes and pumpkin are cooked, while stirring occasionally."
72,5,"Add the amchur powder, sugar and salt, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
72,6,Serve immediately.
73,1,Parboil the potatoes and sweet potatoes in salted water. Peel and cut into large cubes.
73,2,Thread the potato and sweet potato cubes alternately onto skewers.
73,3,Brush them with a little melted butter and cook over a charcoal or electric barbecue till they are evenly browned (approx. 3 to 4 minutes) on all sides.
73,4,Drain on absorbent paper and place in a serving dish.
73,5,"Top with the phudina chutney, khajur imli ki chutney, curds, black salt, cumin seeds powder, chilli powder and salt."
73,6,Serve immediately garnished with radish and spring onions.
74,1,"To make the Aloo Aur Shakarkand ki Chaat recipe, heat the oil in a broad not-stick pan, add the potatoes and sweet potatoes and cook on a medium flame for 3 to 4 minute or till they turn golden brown in colour, while stirring occasionally."
74,2,Remove from the flame and divide into 4 equal portions.
74,3,"Place a portion of the prepared mixture in a serving plate and top with 1½ tbsp of khajur imli ki chutney, 1 tbsp green chutney and ¼ cup of curds evenly over it."
74,4,"Sprinkle a little black salt, cumin seeds powder, chilli powder and salt evenly over it."
74,5,Repeat steps 3 and 4 to make 3 more plates.
74,6,Serve the Aloo Aur Shakarkand ki Chaat immediately garnished with coriander.
75,1,Boil the potatoes and sweet potatoes in salted water. Peel and cut into large cubes.
75,2,Thread the potato and sweet potato cubes onto skewers. Smear them generously with melted butter and grill over a charcoal or electric barbecue
75,3,Drain on absorbent paper and place in a serving dish.
75,4,"Top with the green chutney, khajur imli ki chutney, curds, black salt, cumin seed powder, chilli powder and salt."
75,5,Garnish with the grated radish and spring onions.
75,6,Serve immediately
76,1,"Heat the oil in a deep non-stick pan, add the potatoes and sauté on a medium flame for 5 minutes. Drain and keep aside."
76,2,"In the same non-stick pan, add the bhindi and sauté on a medium flame for 5 minutes. Drain and keep aside."
76,3,"In the same deep non-stick pan, add the onions and sauté on a medium flame for 2 minutes."
76,4,"Add the tomatoes, ginger paste and garlic paste, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
76,5,"Add the coriander powder, chilli powder, garam masala, turmeric powder, asafoetida, dry mango powder, salt and 2 tbsp of water, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
76,6,"Add the sautéed potatoes and bhindi, mix gently and cook on a medium flame for 2 minutes, while stirring occasionally."
76,7,"Switch off the flame, add the fresh cream, coriander and dried fenugreek leaves and mix gently."
76,8,Serve hot.
77,1,"Combine all the ingredients in a deep bowl, mix well and knead into a soft dough using enough water."
77,2,Divide the dough into 2 equal portions.
77,3,"Put one portion of the dough in a greased smallest small hole sev ""press"" mould, press it properly and cover it with the lid."
77,4,"Heat the oil in a deep non-stick pan, press out thin strands of the sev in batches into the hot oil and deep-fry on a slow flame till they turn light brown in colour from both the sides. Drain on an absorbent paper."
77,5,Repeat steps 3 and 4 to deep-fry the remaining sev.
77,6,Keep aside to cool for 5 to 10 minutes.
77,7,"Transfer the sev into a deep bowl, add the black salt and chaat masala evenly over it and break into pieces while mixing it with your hands."
77,8,Store in an air-tight container and use as required.
78,1,"Heat the ghee in a deep non-stick pan, add the rice and salt and sauté on a medium flame for 2 minutes."
78,2,"Switch off the flame, add the deep-fried onions and mix gently. Keep aside."
79,1,Peel the onion and cut into small pieces.
79,2,Cut the tomatoes into small pieces.
79,3,Cut the baby potatoes into 2 horizontally.
79,4,"Combine the potatoes, onions and tomatoes in a deep bowl and mix well."
79,5,"Add the lemon juice, chaat masala, coriander and a little salt and toss well."
79,6,Serve immediately.
80,1,"Heat the oil in a broad non-stick pan, add the potatoes and cook on a medium flame for 4 to 5 minutes or till they turn light golden brown in colour. Keep aside."
80,2,"Combine the green chillies, coriander, mint leaves and ginger in a mixer and blend to a smooth paste using little water."
80,3,"Transfer the paste into a deep bowl, add all the remaining ingredients and toss gently."
80,4,Serve immediately garnished with coriander.
81,1,"Combine 2 tbsp oil, chilli powder, coriander-cumin seeds powder, turmeric powder, dry mango powder, besan, salt and coriander in a bowl and mix well."
81,2,"Add the potato halves, mix well and keep aside to marinade for 5 to 7 minutes."
81,3,"Heat the remaining 1 tbsp oil in a non-stick pan, add the prepared marinated potatoes, mix well and cook on a medium flame for 3 to 4 minutes, while stirring occasionally. Keep aside."
82,1,"Heat the oil in a broad non-stick pan, add the potatoes, mix gently and cook on a medium flame for 5 minutes or till the potatoes are brown from all the sides, while stirring occasionally."
82,2,"Combine the potatoes, onions, coriander, chaat masala, dried mango powder, chilli powder and salt in a deep bowl and toss well. Keep aside."
83,1,"Combine the potatoes, salt and pepper powder in a deep bowl and mix well."
83,2,Divide the potato mixture into 12 equal portions and keep aside.
83,3,Combine the plain flour along with approx. ¾ cup water in a deep bowl and mix well using a whisk till no lumps remain. Keep aside.
83,4,Divide the cheese stuffing into 12 equal portions and keep aside.
83,5,Take a portion of the potato mixture and flatten it on your palm into a 50 mm. (2”) diameter circle using your fingers.
83,6,Place a portion of the cheese stuffing in the centre and bring all the sides together and shape into a cylindrical roll.
83,7,Dip the croquette in the plain flour-water mixture and roll it in the bread crumbs till it is evenly coated from all the sides.
83,8,Repeat step 5 to 7 to make 11 more croquettes.
83,9,"Heat the oil in a deep non-stick pan and deep-fry, a few croquettes at a time on a medium flame, till they are golden brown in colour from all sides. Drain on an absorbent paper."
83,10,Serve immediately with chilli-garlic sauce.
84,1,Combine all the ingredients in a deep bowl and knead into a soft dough using enough water.
84,2,Divide the dough into 6 equal portions and roll each portion into a 125 mm. (6”) diameter circle using a little plain flour for rolling.
84,3,"Heat a non-stick tava (griddle) and cook each roti, using a little oil, till golden brown spots appear on both the sides. Keep aside."
85,1,"Heat the butter in a broad non-stick pan, add the ginger-garlic paste and sauté on a medium flame for 30 seconds."
85,2,"Add the potatoes, chili powder, garam masala, chaat masala, coriander and salt, mix well and cook for 1 to 2 minutes. Keep aside."
86,1,"Heat the oil in a deep non-sick pan, add the potatoes and sauté on a medium flame for 6 to 7 minutes."
86,2,"Add the turmeric, kashmiri red chilli powder, red chilli powder, coriander powder, cumin seeds powder, asafoetida, garam masala, and salt , mix well and sauté on a medium flame for 7 minutes."
86,3,"Switch off the flame, add the dried mango powder and coriander and mix well."
86,4,Serve immediately.
87,1,"Heat the ghee in a pressure cooker, add the cumin seeds, cinnamon, cloves and bayleaf and sauté on a medium flame for a few seconds."
87,2,Add the rice and sauté on a slow flame for 2 minutes.
87,3,"Add the potatoes, cauliflower, turmeric powder, chilli powder, salt and 2 cups of water, mix well and pressure cook on a medium flame for 2 whistles."
87,4,Allow the steam to escape before opening the lid.
87,5,Serve hot garnished with coriander.
88,1,"Heat the ghee in a pressure cooker, add the cinnamon, cloves and bayleaves and sauté on a medium flame for a few seconds."
88,2,Add the rice and sauté on a medium flame for 1 to 2 minutes.
88,3,"Add the, cauliflower, potatoes, rice, turmeric powder, chilli powder and salt and sauté on a medium flame for 1 minute."
88,4,"Add 3½ cups of hot water, mix well and pressure cook for 2 whistles."
88,5,Allow the steam to escape before opening the lid.
88,6,Serve hot garnished with papad.
89,1,"Clean, wash and soak the rice for approx. 15 minutes. Drain and keep aside."
89,2,"Heat the oil in a pressure cooker and add the bay leaves, cloves and cinnamon."
89,3,"When they crackle, add the turmeric powder, dry ginger powder, chilli powder, garam masala powder, potatoes and cauliflower."
89,4,Sauté for 2 minutes and then add the rice.
89,5,"Sauté for 2 more minutes, add 3 cups of hot water and salt and pressure cook for 1 whistle."
89,6,Allow the steam to escape before opening. Separate each grain of rice very lightly with a fork.
89,7,Garnish with the mint springs and serve hot.
90,1,Heat the oil in a broad non-stick pan and add the cumin seeds.
90,2,"When the seeds crackle, add the ginger-green chilli paste and cauliflower and sauté on a medium flame for 2 to 3 minutes."
90,3,"Add the coriander powder, turmeric powder, chaat masala and salt, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
90,4,"Add the potatoes, mix well and cook on a medium flame for 1 minute, while stirring occasionally. Keep aside to cool slightly."
91,1,Heat the oil for deep-frying in a deep non-stick pan and fry the potatoes till they turn golden brown in colour from all the sides. Drain on an absorbent paper. Keep aside.
91,2,Deep-fry the cauliflower till they turn golden brown in colour from all the sides. Drain on an absorbent paper. Keep aside.
91,3,"Heat the oil in a broad non-stick pan, add the cumin seeds and asafoetida and sauté on a medium flame for a few seconds."
91,4,"When the seeds crackle, add the ginger-green chilli paste and sauté on a medium flame for a few seconds."
91,5,Add the fenugreek leaves and sauté on a medium flame for 2 minutes.
91,6,"Add the fried potato and cauliflower pieces, chaat masala and salt, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
91,7,Serve hot.
92,1,"Heat the oil in a deep non-stick kadhai, and add the cumin seed and asafoetida."
92,2,"When the seeds crackle, add the dry red chillies, ginger, garlic and green chillies and sauté on a medium flame or a few seconds."
92,3,"Add the potatoes, mix well and cover and cook on a medium flame for 3 to 4 minutes, while stirring occasionally."
92,4,"Add the cauliflower, salt and 1 tbsp of water, mix well and cover and cook on a medium flame for 5 minutes, while stirring occasionally."
92,5,"Add the turmeric powder, chilli powder, garam masala and dried mango powder, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
92,6,Garnish with a sprig of coriander and serve hot with parathas or rotis.
94,1,Heat the oil in a broad non-stick pan and add the cumin seeds and asafoetida.
94,2,"When the cumin seeds crackle, add the green chillies, paneer, black salt and salt, mix well and cook on a medium flame for 1  minute, while stirring continuously."
94,3,Add the coriander and mint and mix well.
94,4,Divide the filling into 4 equal portions and keep aside.
95,1,"Combine the potatoes, kand and butter in a bowl, add 1teaspoon of water and mix well and microwave on high for 6 minutes, stirring once in between after 3 minutes."
95,2,"Add the onions, coriander, mint and the mixed masala and mix well."
96,1,"Heat the ghee in a deep non-stick kadhai, add the cumin seeds, aniseeds, nigella seeds, fenugreek seeds and red chillies"
96,2,"When the seeds crackle, add the ginger-garlic paste and sauté on a medium flame for a few seconds."
96,3,Add the onions and sauté on a medium flame for 5 minutes.
96,4,"Add the turmeric powder, potatoes and salt, mix well and cover with a lid and cook on a slow flame for 8 minutes or till the potatoes are cooked, while stirring occasionally."
96,5,Add the chaat masala and mix well.
96,6,Serve immediately garnished with coriander.
97,1,Combine all the ingredients in a deep bowl and knead into a stiff dough using enough water.
97,2,Divide the dough into 35 equal portions and roll each portion into a 75 mm. (3”) diameter circle.
97,3,"Heat the oil in a deep non-stick pan and deep-fry, a few puris at a time, till they turn golden brown in colour from both the sides. Drain on an absorbent paper."
97,4,Serve immediately.
98,1,"Heat the oil in a deep non-stick pan, add the cumin seeds and curry leaves and sauté on a medium flame for 30 seconds."
98,2,"Add all the remaining ingredients, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
98,3,Serve hot.
99,1,"Combine the yeast, sugar and 5 tbsp of lukewarm water in a bowl and mix well. Cover it with a lid and keep aside for 10 minutes."
99,2,"Combine the plain flour, yeast-sugar mixture, curds and salt and in a deep bowl and knead into a soft dough, using enough water."
99,3,Cover the dough with a lid or damp muslin cloth and keep aside in a warm place for 45 minutes.
99,4,Add the oil and knead very well. Keep aside.
100,1,"Combine the potatoes, mint leaves, green chillies, cumin seeds powder, lemon juice and salt in a bowl and mix well."
100,2,Divide the mixture into 6 equal portions and shape them into round balls. Keep aside.
100,3,Combine the plain flour with a little water to make a thick and smooth paste and keep aside.
100,4,Dip each potato ball in the flour paste and then roll in powdered rice flakes till they are evenly coated from all the sides.
100,5,Heat the oil in a kadhai and deep-fry the potato balls a few at a time till they are golden brown in colour from all sides. Drain on absorbent paper.
100,6,Serve hot with sweet and sour sauce.
101,1,"Heat the oil in a deep non-stick kadhai and deep-fry the potatoes in 2 batches, till they turn golden brown in colour form all the sides. Drain on an absorbent paper and keep aside."
101,2,Heat the ghee in a deep non-stick kadhai and add the caraway seeds.
101,3,"When the seeds crackle, add the onions and sauté on a medium flame for 1 to 2 minutes."
101,4,"Add the cashewnut halves, turmeric powder, garam masala, chilli powder and cashew paste and sauté on a medium flame for 1 to 2 minutes."
101,5,"Lower the flame, add the curds, milk, ½ cup of water and salt, mix well and cook on a slow flame for 2 to 3 minutes, while stirring occasionally."
101,6,"Add the deep-fried potatoes, mix gently and cook on a slow flame for 2 to 3 minutes, while stirring occasionally."
101,7,Serve hot garnished with coriander.
102,1,"Combine the potatoes, chaat masala and coriander-cumin seeds powder in a bowl and mix lightly. Keep aside."
102,2,"Heat the oil in a broad non-stick pan, add the ginger and green chillies and sauté on a medium flame for a few seconds."
102,3,"Add the tomatoes and cook on medium flame for 2 minutes, while stirring occasionally."
102,4,"Add the chilli powder, pomegranate powder salt and lemon juice, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
102,5,"Add the potato mixture, mix gently and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
102,6,"Switch off the flame, add the lemon juice and mix gently."
102,7,Serve hot garnished with coriander.
103,1,"Place the fenugreek leaves in a deep bowl, sprinkle a little salt over it, toss well and keep aside for 15 minutes."
103,2,Squeeze out all the water from the fenugreek leaves and keep aside. Discard the squeezed water.
103,3,"Heat the oil in a deep non-stick pan, add the cumin seeds and asafoetida and sauté on a medium flame for a few seconds."
103,4,"When the seeds crackle, add the garlic, ginger, green chillies and red chillies and sauté on a medium flame for 30 seconds."
103,5,"Add the turmeric powder and potatoes, mix gently and cook on a medium flame for 5 minutes, while stirring occasionally."
103,6,"Add the fenugreek leaves, coriander-cumin seeds powder and salt, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
103,7,Serve hot.
104,1,Combine all the ingredients in a deep bowl and knead into a soft dough using enough water.
104,2,Divide the dough into 5 equal portions and keep aside.
105,1,Heat the oil in a broad non-stick pan and add the cumin seeds.
105,2,"When the seeds crackle, add the ginger and green chiliees and sauté on a medium flame for 30 seconds."
105,3,Add the onions and sauté on a medium flame for 1 minute.
105,4,"Add the potatoes, fenugreek leaves, dried fenugreek leaves, salt, garam masala, dry mango powder, turmeric powder and coriander, mix well and cook on a medium flame for 2 to 3 minutes, while stirring continuously."
105,5,Remove from the flame and allow it to cool completely.
105,6,"Once cooled, divide the mixture into 4 equal portions."
105,7,Shape each portion into a round ball.
105,8,Dip each round ball in the plain flour-water mixture and lightly roll them in bread crumbs in such a way that the balls are evenly coated from all the sides.
105,9,Heat the oil in a kadhai and deep-fry the balls till they are golden brown in colour from all the sides.
105,10,Drain on absorbent paper.
105,11,Serve immediately with green chutney.
106,1,Divide the stuffing into 6 equal portions and keep aside.
106,2,"Divide the dough into 6 equal portions and roll out one portion of dough into a 75 mm. (3"") diameter circle using a little flour for rolling. "
106,3,Place one portion of the stuffing in the centre and fold the edges of the dough over the stuffing. 
106,4,Pinch the edges together to seal the stuffing and remove the excess dough. 
106,5,"Flatten the dough and roll out again into a 125 mm. (5"") diameter circle. "
106,6,Cook the paratha on a tava (griddle) over a medium flame using soya oil till both sides are golden brown. 
106,7,Repeat with the remaining dough and stuffing to make 5 more parathas.
106,8,Serve hot. 
106,1,"Heat the ghee in a deep non-stick pan, add the cardamom, cloves and bayleaf and sauté on a medium flame for 30 seconds."
106,2,Add the prepared paste and sauté on a medium flame for 2 minutes.
106,3,"Add the fresh cream, curds, garam masala, 1 cup of water and salt, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
106,4,"Add the potatoes and green peas, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
106,5,Serve hot.
107,1,"Heat the oil in a deep non-stick pan, add the cumin seeds and sauté on a medium flame for a few seconds."
107,2,Add the onions and sauté on medium flame for 1 minute.
107,3,"Add the ginger-green chilli paste, garlic paste and sauté on a medium flame for a few seconds."
107,4,"Add the tomatoes, mix well and cook on medium flame for 8 minutes ,while stirring occasionally."
107,5,"Add the turmeric powder, chilli powder, garam masala, sugar, salt and ¼ cup of water, mix well and cook medium flame for 2 minutes, while stirring occasionally."
107,6,"Add the green peas, potatoes and ¼ cup of water, mix gently and cook on medium flame for 2 minutes, while stirring occasionally."
107,7,Serve hot garnished with coriander.
108,1,Heat oil in a pan and fry the sliced onions until golden brown in colour.
108,2,Cool and blend to a smooth paste in a blender.
108,3,Heat the oil in a kadai and fry the chopped onions for a little time. Add the ground paste and fry again for 3 to 4 minutes.
108,4,"Add the potatoes, green peas and 2 cups of water. Cover and cook till the potatoes are done."
108,5,Add the onion paste and salt and mix well.
108,6,Crush the saffron and mix it in the curds. Add this mixture to the vegetable and simmer for a couple of minutes.
108,7,Serve hot garnished with coriander.
109,1,"Combine all the ingredients along with ¾ cup of water in a deep non-stick pan, mix well and cook on a slow flame for 15 minutes, while stirring occasionally."
109,2,Allow the mixture to cool completely and blend in a mixer to a smooth paste. Keep aside.
110,1,"Heat the oil and add the cumin seeds and allow them to crackle. When they crackle, add the onions and sauté till they are translucent."
110,2,"Add the garlic, ginger,green chilli paste and tomatoes and simmer till the tomatoes are cooked. Mash lightly using a potato masher and add 1 tbsp water."
110,3,"Add the green peas,potatoes, salt,chilli powder, garam masala and and cook for 3 to 4 minutes."
110,4,Add 1 cup of water and allow it to come to a boil.
110,5,Mash 2 to 3 pieces of potatoes in the pan to thicken the gravy. Simmer till the gravy thickens.
110,6,Garnish with the coriander and serve hot with rotis or parathas.
111,1,Heat the oil in a pan and add the cumin seeds.
111,2,"When they crackle, add the onions and sauté till they are translucent."
111,3,"Add the ginger-green chilli paste, garlic paste and tomatoes and sauté till the tomatoes are cooked."
111,4,"Add the turmeric powder, chilli powder, garam masala, green peas and potatoes and cook for some time."
111,5,Add 1½ cups of water and salt and allow it to come to boil.
111,6,Mash 2 to 3 potato cubes in the pan to thicken the gravy. Simmer till the gravy thickens.
111,7,Serve hot garnished with the coriander.
112,1,"Heat the oil in a pressure cooker, add the cumin seeds and sauté for 30 seconds."
112,2,"Add the onions, ginger, garlic and green chillies and sauté on a medium flame for 2 minutes."
112,3,"Add the tomato purée, turmeric powder, chilli powder, coriander- cumin seeds powder and garam masala, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
112,4,"Add the potatoes, green peas, ¾ cup of hot water and salt, mix well and pressure cook on a medium flame for 3 whistles."
112,5,"Allow the steam to escape using natural release method, ( refer handy tip ) before opening the lid."
112,6,Serve hot garnished with coriander.
113,1,"Combine the besan, rice flour, chilli powder, turmeric powder, asafoetida, carom seeds, coriander, warm oil, baking soda, salt and approx. ¾ cup of water in a deep bowl and mix well using a whisk till smooth."
113,2,"Heat the oil in a deep non-stick kadhai, dip a few potato slices in the prepared batter and drop it in hot oil. Deep-fry on a medium flame, till they turn golden brown in colour from all the sides. Drain on an absorbent paper."
113,3,Place the deep-fried aloo pakora on a serving plate. Sprinkle chaat masala evenly over it and serve immediately.
114,1,Heat the oil in a broad non-stick pan and add the cumin seeds and asafoetida and sauté on a medium flame for 30 seconds.
114,2,"Add the garlic, ginger, green chillies, red chillies and sauté on a medium flame for 1 minute."
114,3,"Add the potatoes, toss gently and cook on a medium flame for 5 minutes, while stirring occasionally."
114,4,"Add the spinach, coriander powder, turmeric powder and salt, mix well and cook on a medium flame 3 minutes, while stirring occasionally."
114,5,Serve hot.
115,1,Heat the oil in a microwave safe bowl and microwave for 30 seconds.
115,2,Add the cumin seeds and micorwave for 1 minute.
115,3,"Add the ginger, garlic and chillies, mix well and microwave for 30 seconds."
115,4,"Add the potatoes, mix well and microwave for 3 minutes, while stirring twice in between."
115,5,"Add the spinach,coriander powder, turmeric powder and asafoetida, mix well and cover and cook in a microwave for 3 minutes, while stirring twice in between."
115,6,Serve hot.
116,1,"Combine all the ingredients in a deep bowl, mix well and make a soft smooth dough using water."
116,2,Divide the dough into 12 equal portions.
116,3,Roll out each portion of the dough into a 125 mm. (5”) diameter circle with the help of a little whole wheat flour.
116,4,"Heat a non-stick tava (griddle) and cook the roti using a little oil, till golden brown spots appear on both the sides."
116,5,Repeat with the remaining dough to make 11 more rotis.
116,6,Serve hot with curds and pickle of your choice.
117,1,"Combine all the ingredients in a deep bowl, mix well and knead into a soft smooth dough using enough water."
117,2,Divide the dough into 12 equal portions.
117,3,Roll out each portion of the dough into a 125 mm. (5”) diameter circle using a little whole wheat flour for rolling.
117,4,"Heat a non-stick tava (griddle) and cook each roti, using a little oil, till it turns golden brown in colour from both the sides."
117,5,Serve hot with curds and pickle of your choice.
118,1,"Heat the oil on a non-stick tava (griddle), add the potatoes and cook on a medium flame for 8 to 10 minutes or till the potatoes are brown from all the sides, while stirring occasionally."
118,2,Slide the potatoes around the circumference of the tava (griddle).
118,3,"Add the green peas and ginger in the same oil, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
118,4,"Add the paneer, salt, chaat masala, green chillies and lemon juice, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
118,5,Slide the potatoes back to the centre of the tava (griddle) and toss well with all the other ingredients.
118,6,Serve immediately garnished with coriander.
119,1,Heat the oil in a non-stick pan and add the green chilles and ginger and sauté for 1 minute.
119,2,"Add the paneer, potatoes and green peas and cook for another minute."
119,3,"Add the amchur, crushed pepper, lemon juice and salt and mix well."
119,4,Serve hot garnished with the chopped coriander.
