recipe_id,name,description,cook_time_in_minutes,preparation_time_in_minutes,total_time_in_minutes,image_url,number_of_views
73,Aloo Aur Kaddu ki Subzi,"Soft potatoes and fibrous red pumpkin cooked with an aromatic tempering of assorted seeds and spices, a couple of traditional spice powders, a dash of curds and tomatoes, the Aloo aur Kaddu ki Subzi is a choice you will not regret, whether for a homely meal or a friendly gathering. It burgeons with flavour and aroma, highlighted further by the finishing touch, a thoughtful sprinkling of tangy amchur powder.",25,10,35,https://www.tarladalal.com/members/9306/big/big_aloo_aur_kaddu_ki_subzi-8409.jpg?size=696X905,97017 times
74,Aloo Aur Shakarkand Chaat,A delicious snack that is sure to be enjoyed by all! potatoes are a favourite with most people. This recipe uses both potatoes and sweet potatoes. These are cut into large cubes and threaded onto skewers and brushed with oodles of butter. These are then grilled to perfection in a charcoal or electric barbeque and topped with tongue-tickling chutneys. ,20,10,30,https://www.tarladalal.com/members/9306/big/big_aloo_aur_shakarkand_chaat-6812.jpg?size=500X650,67037 times
75,Aloo Aur Shakarkand ki Chaat,"Most of us consider sweet potatoes to be a very boring vegetable, only to be eaten during religious fasts and then too, it is only baked or boiled before it is peeled and eaten. This recipe of Aloo Aur Shakarkand ki Chaat is a good example of how versatile and delicious the humble potato and sweet potato can be. Have the Aloo Aur Shakarkand ki Chaat topped on crunchy papadis or fill them in bread tartlets for a delicious treat. Check out are many more chaat recipes that are sure to tickle your taste buds.",4,10,14,https://www.tarladalal.com/members/9306/big/big_aloo_aur_shakarkand_ki_chaat-9221.jpg?size=696X905,73214 times
76,Aloo Aur Shakarkand Ki Chaat ( Starter Recipe ),"This dish is almost a meal in itself. Potatoes and sweet potatoes are grilled with butter, then topped with curds and spices and garnished with grated radish and spring onions. ",30,10,40,https://www.tarladalal.com/members/9306/big/big_aloo_aur_shakarkand_ki_chaat_(_starter_recipe_)-13009.jpg?size=696X905,43851 times
77,"Aloo Bhindi, Punjabi Style Recipe","Who doesn’t like the combination of aloo and bhindi? Combining it with potatoes makes ladies finger appealing even to little kids! Here is one way to cook the duo in a flavour-packed Punjabi style. Here the Aloo Bhindi is perked up with a range of common but dynamic ingredients, which give a really awesome flavour and nice mouth-feel to the subzi. Fresh cream makes the dish richer, while peppy spice powders and dried fenugreek leaves give it an appetizing aroma and tongue-tickling flavour. Serve it hot with rotis . Try other bhindi recipes like Dahi Bhindi ki Subji or Stuffed Bhindi with Paneer . ",17,15,32,"https://www.tarladalal.com/members/9306/big/big_aloo_bhindi,_punjabi_style_recipe-13721.jpg?size=696X905",4838 times
78,"Aloo Bhujia, Potato Sev, Jar Snack","Made with a dough of mashed potatoes, besan and rice flour, the Aloo Bhujia has a melt-in-the-mouth texture. It also has an awesome flavour, with the spiciness of garam masala and the exhilarating tang of dry mango powder. With a perfect blend of spices, this recipe gives you an authentic flavour just like what you get in the market. Enjoy it with a cup of hot tea  . You can also try other recipes like Methi Puri or Healthy Khakhra Chivda .",25,15,40,"https://www.tarladalal.com/members/9306/big/big_aloo_bhujia,_potato_sev,_jar_snack-13347.jpg?size=696X905",10964 times
79,Aloo Biryani,"The rich flavour of the gravy and the succulent crunch of deep-fried baby potatoes make this Aloo Biryani an experience to remember. Here, perfectly cooked rice is layered with a spicy gravy and deep-fried baby potatoes, along with some mint and coriander leaves to enhance the flavour and aroma. The whole arrangement is then cooked in a microwave or traditional oven to get the ‘dum’ effect, which causes the flavours of the gravy to blend with the rice and potatoes, giving you a really terrific biryani. Making traditional biryanis like this takes some time and effort but it is completely worth it! You can also try other biryani recipes like Minty Paneer Biryani or Biryani, Veg Hyderabadi Biryani .",10,25,35,https://www.tarladalal.com/members/9306/big/big_aloo_biryani-13693.jpg?size=696X905,4966 times
80,Aloo Chaat,"Aloo Chaat is a mouth-watering treat that everybody loves! Tasty baby potatoes are combined with onions and tomatoes, as well as peppy chaat masala and tangy lemon juice to make a really flavourful treat. It feels wonderful to bite into this exciting treat, which is soft, crispy and chewy too. Prepare it just before serving, otherwise the vegetables will get soggy. Serve with Sev and Papadi (Chaat) to add a crunch to this delicious Aloo Chaat. ",2,1,3,https://www.tarladalal.com/members/9306/big/big_aloo_chaat-10452.jpg?size=696X905,193901 times
81,Aloo Chaat (  Punjabi Khana),"There’s hardly anyone who isn’t familiar with the delicious aloo chaat. It is a versatile dish that is prepared in many different ways by different people in various states. Here is punjab’s version of aloo chaat and in true punjabi style it uses loads of chaat masala, lemon juice, mint and coriander making it irresistible. An ideal snack to be served with tea or cocktails or as an accompaniment to a meal.",5,10,15,https://www.tarladalal.com/members/9306/big/big_aloo_chaat_(__punjabi_khana)-8431.jpg?size=696X905,69802 times
82,Aloo Chaat ( Mumbai Roadside Recipes ),"What a delightful experience it is to watch the baby potato turn into something so exciting! Tiny potatoes, marinated in Indian spices and sautéed in oil, are topped with moong, sev and other typical chaat add-ons. Although Aloo Chaat is not an integral part of all chaat counters, it has a fan-following of its own, especially in the winter, when its spiciness and warmth rejuvenate the soul.Planning a chaat party? Check out our collection of exciting recipes of chaat like Moong Dahi Misal, Chole Tikki Chaat and Khasta Kachori Chaat.Enjoy how to make Aloo Chaat recipe with detailed step by step photos and video.",4,10,14,https://www.tarladalal.com/members/9306/big/big_aloo_chaat_(_mumbai_roadside_recipes_)-9998.jpg?size=696X905,392620 times
83,Aloo Chaat Tacos,"East meets West in this innovative Aloo Chaat Tacos. Borrowing a few interesting ideas from Mexican cuisine, this awesome starter features taco shells stuffed with a chatpata potato filling, laced with creamy curd and tongue-tickling sweet chutney. If you want the snack a bit spicier, you can add green chutney or other spicy chutneys too. The spice levels can generally be altered according to your taste. Serve this easy-to-make starter at your next party, and watch your guests marvel at the desi taco creation! You can also have a go at other tacos recipes like Tacos or Corn and Cottage Cheese Tacos.",5,15,20,https://www.tarladalal.com/members/9306/big/big_aloo_chaat_tacos-13905.jpg?size=696X905,5369 times
84,"Aloo Cheese Croquettes, Potato and Cheese Rolls","A yummy starter, which is sure to raise one’s expectations of the forthcoming meal! Aloo Cheese Croquettes also look very appetising, so nobody is likely to pass up the tray without tasting one. A melt-in-the-mouth covering of mashed potatoes gives way to a succulent, cheesy filling that has the peppy flavour of chilli-garlic sauce. Accompanied by more chilli-garlic sauce, this delectable snack is an awesome treat for your taste buds – in terms of its texture as well as flavour! Enjoy it hot and fresh.",15,15,30,https://www.tarladalal.com/members/9306/big/big_aloo_cheese_croquettes_(_kebabs_and_tikkis_recipes)-12038.jpg?size=696X905,338258 times
85,Aloo Cheese Frankie,"A wholesome snack-on-the-go, the Aloo Cheese Frankie is something you can easily make at home once you know the right ingredients and method to use. Plain flour rotis play host to a deep-fried potato roll. The inclusion of onion masala mixture and masala water gives the frankies an authentic taste, which measures up to the way your favourite vendor makes it!Kids will love to have Aloo Cheese Frankie and a glass of Chocolate Milkshake as an after school treat .",20,20,40,https://www.tarladalal.com/members/9306/big/big_aloo_cheese_frankie-12101.jpg?size=696X905,137004 times
86,Aloo Frankie (  Wraps and Rolls),The aloo frankie truly needs no introduction! this one is an authentic recipe that simply never fails you. With a balance of flavours ranging from tangy to spicy it will be enjoyed by young and old alike. ,3,15,18,https://www.tarladalal.com/members/9306/big/big_aloo_frankie_(wraps_and_rolls)-2440.jpg?size=500X652,357902 times
87,"Aloo Fry Recipe, How To Make Potato Fry","Aloo Fry is a chatpata dry potato preparation, made with a large assortment of spice powders including tongue-tickling ones like garam masala and amchur. It is amazing how common spice powders and an everyday veggie can result in something so tasty when used in the right proportions and cooked the right way! While cooking the potato cubes, do not keep on stirring continuously as they will break and become mushy. Just let them cook for the required time, stirring occasionally, to get a nice texture and taste. We have used mustard oil in this recipe as it adds to the peppy flavour! You can also try other recipes like Potatoes in Harissa Sauce or Potatoes and Tomatoes Stuffed with A Coconut-based Paste .",14,10,24,"https://www.tarladalal.com/members/9306/big/big_aloo_fry_recipe,_how_to_make_potato_fry-13221.jpg?size=696X905",11449 times
88,Aloo Gobhi Ka Pulao,"A homely and simple dish that is sure to satiate you, the Aloo Gobhi ka Pulao is fortified with loads of stomach-friendly veggies. This mildly-flavoured pulao uses minimal spices so as not to irritate your stomach. Even if you have acidity problems, you can enjoy this dish occasionally when you feel like having rice, but make sure you add lots of veggies as suggested here. As it is made in a pressure cooker and uses only common ingredients, it can be made quickly and easily on any day.",17,13,45,https://www.tarladalal.com/members/9306/big/big_aloo_gobhi_ka_pulao-12729.jpg?size=696X905,43364 times
89,Aloo Gobhi Pulao ( Pressure Cooker ),"Aloo gobhi pulao, we have tweaked the common aloo gobhi recipe, to enhance it into a complete meal. Bite- sized cauliflower florets and potatoes are combined with rice and cooked together in the pressure cooker. ",20,10,30,https://www.tarladalal.com/members/9306/big/big_aloo_gobhi_pulao_(_pressure_cooker_)-11243.jpg?size=696X905,73198 times
90,Aloo Gobi Ka Pulao,"Soft potatoes and cauliflower florets are sautéed with cinnamon, dry ginger and turmeric and other spices and then pressure-cooked with rice for a tasty one-dish dinner. Served hot garnished with mint springs for a comforting dinner. ",20,10,30,https://www.tarladalal.com/members/9306/images/aloo-gobi-ka-pulao-1106.jpg?size=250X292,94112 times
91,"Aloo Gobi Ke Parathe, Aloo Cauliflower Paratha Recipe","Everyone loves the traditional aloo ka Paratha and a lot of us thoroughly enjoy the occasional Gobi ka Paratha. The Punjabis in their ingenious way have invented this delectable combination that everyone can enjoy. Boiled and mashed aloo and Gobi are combined with the essential Punjabi masalas to create this wonderful Punjabi Paratha. Using whole wheat flour instead of plain flour or Maida makes this Parathas healthy and tasty. Only a little oil has been used to cook the Parathas but for those of you who want experience Punjabi food in all its glory, adding a dollop of ghee or fresh home-made butter would be a great option!",20,10,30,https://www.tarladalal.com/members/9306/big/big_aloo_gobi_ke_parathe-10913.jpg?size=696X905,180037 times
92,Aloo Gobi Methi Tuk,"Tongue-tickler to the core, the Aloo Gobi Methi Tuk is a tasty subzi featuring deep-fried veggies perked up with a traditional tempering and fenugreek leaves. Deep-frying the potato wedges with the peels on, gives it a rustic flavour that you will thoroughly enjoy. Fenugreek and chaat masala, on the other hand, work perfectly with subtly flavoured veggies like potatoes and cauliflower. The combo raises this subzi to a very high rank on the flavour scale.",20,15,35,https://www.tarladalal.com/members/9306/big/big_aloo_gobi_methi_tuk-9892.jpg?size=696X905,72437 times
93,"Aloo Gobi, Aloo Gobhi Recipe","An all time favourite combination, in an all time favourite form! potato and cauliflower feature in a traditional curry seasoned with typical Indian spices and spruced up with common ingredients like ginger, green chillies and garlic. The magic of the garam masala and the dry mango powder is evident in Aloo gobi, as these spice powders really perk up the flavour of the subzi.Serve for lunch or dinner with rotis .",11,15,26,https://www.tarladalal.com/members/9306/big/big_aloo_gobhi-8032.jpg?size=696X905,549803 times
94,Aloo Hara Masala,Mughlai food is known to be very time consuming to prepare as it uses lots of pastes that need to be ground separately. Here is a starter that is prepared by first making a bright green fresh and minty paste and then combined with curds and other ingredients to make a marinade. Make sure you marinate the potatoes for at least 1 hour before grilling so that they absorb all the nuances of flavour. This preparation is worth all the extra effort required. ,25,10,35,https://www.tarladalal.com/members/9306/big/big_aloo_hara_masala-5969.jpg?size=500X650,37203 times
95,Aloo Ka Bomb,"Our very own version of the ""Baked Stuffed Potato"", fondly named by street vendors as a ""Bomb"". Whole potatoes scooped and stuffed with a chatpata paneer filling and topped with spicy green chutney and crispy sev.",3,10,13,https://www.tarladalal.com/members/9306/big/big_aloo_ka_bomb-8432.jpg?size=696X905,105127 times
96,Aloo Kand Chaat ( Microwave Recipe),Potato and yam cubes tossed in a chatpata masala make a tongue-tickling starter. Adding a teaspoon of water while cooking the potatoes and yam helps to prevent the vegetables from dehydrating in the microwave. ,6,10,16,https://www.tarladalal.com/members/9306/big/big_aloo_kand_chaat_(_microwave_recipe)-7035.jpg?size=500X650,62078 times
97,Aloo Khaas,"A truly spectacular marriage of spices creates this delightful dry potato subzi. Using potato roundels and spices like cumin seeds, aniseed, nigella seeds, fenugreek seeds and chaat masala, this dish is a treat for your taste buds. The Kashmiri red chillies add the required spark of colour to the dish.",14,10,24,https://www.tarladalal.com/members/9306/big/big_aloo_khaas-10275.jpg?size=696X905,61565 times
98,Aloo Ki Puri,"Aloo ki Puri is a fabulous puri with so much flavour ingrained in it that you don’t need any accompaniments to complete it! The dough is reinforced with boiled potatoes and a thoughtful mix of spice powders, which gives it a wonderfully soft texture and energetic flavour. The Aloo ki Puri is great to have for breakfast or tea-time . Don’t forget to add a little ghee to the dough because it gives a good texture and rich flavour to it.You can also try other puris like Banana and Rajgira Puri , Spinach Puri and Kand Puri .",25,15,40,https://www.tarladalal.com/members/9306/big/big_aloo_ki_puri-13291.jpg?size=696X905,87867 times
99,Aloo ki Sukhi Subzi,"When you need something quick and easy to serve with your rotis or puris , there is no better choice than this homely Aloo ki Sukhi Subzi. If you have got boiled potatoes on hand, it won’t take you more than five minutes to conjure up this ever-popular potato subzi. It is easy-to-prepare and makes use of everyday ingredients, but this dish has a magical and universal appeal. It is sure to be loved by all! Some sliced onions and Nimbu Ka Achaar makes a fitting accompaniment to Aloo ki Sukhi Subzi with puris or rotis.",3,15,18,https://www.tarladalal.com/members/9306/big/big_aloo_ki_sukhi_subzi-11259.jpg?size=696X905,32825 times
100,"Aloo Kulcha, Amritsari Potato Kulcha","Aloo Kulcha is a delicious, flavour-packed Indian bread , which is stuffed with a tasty, mildly-tangy potato mixture. A sprinkling of black sesame seeds and chopped coriander on the rolled dough boosts the aroma and flavour of the Aloo Kulcha manifold. When cooked on the tava, these ingredients get toasted and give out an awesome aroma. Make sure to brush the kulchas with a little butter before serving, to make the taste even richer! You can serve the Aloo Kulchas with Paneer Pasanda or Punjabi Chole . ",20,15,35,"https://www.tarladalal.com/members/9306/big/big_aloo_kulcha,_amritsari_potato_kulcha-13300.jpg?size=696X905",14794 times
101,Aloo Kurkure,"Mint-flavoured potato mash dipped in a typical flour batter, coated with powdered beaten rice, and deep-fried till temptingly crisp. Hear the crunchy poha crackle as you drain these on absorbent paper, and be tempted to take a bite even before you finish frying the remaining balls! indeed, this is a delectable snack that has both a traditional and modern hue, satisfying both young and old. Serve the aloo kurkure balls hot, with sweet and sour sauce or a chutney of your choice.",9,5,14,https://www.tarladalal.com/members/9306/big/big_aloo_kurkure-9492.jpg?size=696X905,167133 times
102,"Aloo Lajawab, Mughlai Aloo Lajawab Recipe","A richly-flavoured potato dish from the Mughlai repertoire, Aloo Lajawab is prepared in the typical opulent style of the Nawabs, with lots of dairy products and cashews too. Cashews are used not just in the paste but also halved and added along with the potatoes to add a lovely crunch to the dish. While the milk, curds and cashew paste contribute a creamy mouth-feel and luscious texture to the Aloo Lajawab, the caraway seeds and spice powders give it an enchanting aroma and tongue-tickling flavour, which will surely make you lick your fingers clean, and yearn for one more helping of this delicious Main Course . ",25,15,40,https://www.tarladalal.com/members/9306/big/big_aloo_laajawaab-10873.jpg?size=696X905,65757 times
103,Aloo Masala Chaat,"Stop for a few minutes near a vendor who sells aloo masala chaat and you will be amazed by the vast range of people stopping there for a snack, from those walking by to those driving in imported cars! what’s so exciting about cooked and cubed potatoes. . . Unless it is spiked up with peppy chaat masala, tangy and juicy tomatoes, and an assortment of other lip-smacking ingredients! indeed the Aloo Masala Chaat is so tempting that it would be wonderful to learn how to make it, so you can conjure it up in your own kitchen with a wave of your magic wand any time you want to.",6,15,21,https://www.tarladalal.com/members/9306/big/big_aloo_masala_chaat-7794.jpg?size=696X905,91561 times
104,Aloo Methi,"Aloo Methi is an everyday recipe... easy, tasty and awesome. Yet, every time you taste it, it feels exotic, with the softness of potatoes and the pleasing bitterness of methi. Indeed, this Indian favourite deserves the global fame that it has earned! You will find that this recipe is made with everyday ingredients like ginger, garlic, cumin seeds and red chillies, yet it has a rich aroma and flavour that makes you eat an extra chapati or two. Cooking the potatoes for so long makes them a little crisp and gives them an appetising brownish colour. It also allows the potatoes to imbibe the flavours of the garlic, green chillies and ginger really well.Also try other subzi combos with methi like Methi Palak Paneer Subzi , Methi Papad and Methi Mutter Pasanda . ",9,15,24,"https://www.tarladalal.com/members/9306/big/big_aloo_methi,__punjabi_aloo_methi_recipe-12139.jpg?size=696X905",715979 times
105,Aloo Methi Parathas,"Packed with excitement; that describes the Aloo Methi Parathas best of all! These sumptuous whole wheat parathas are stuffed with a delectable mixture of potatoes flavoured with fenugreek leaves, cumin seeds and spice powders, which makes them so tasty that they can be served straight and simple with just curds and pickles. When the methi is sautéed, it sheds its bitterness, thereby imparting only its positive characteristics such as its strong aroma and unmistakable flavour to the dish. Indeed, this is a main course that will appeal to all!",15,15,30,https://www.tarladalal.com/members/9306/big/big_methi_aloo_parathas-9578.jpg?size=696X905,207149 times
106,Aloo Methi Tikki ( Kebabs and Tikkis Recipes),"Aloo and methi are made for each other! Whether as a subzi or a tikki, the twosome is sure to win the hearts of all diners, young and old. In this particular Aloo Methi Tikki, the presence of methi is strongly felt as it is used in both fresh and dried forms. The tikki is further enhanced with common spice powders and effective ingredients like cumin seeds, ginger, onions, and so on. Serve fresh with green chutney or a tangy curd dip.",15,15,30,https://www.tarladalal.com/members/9306/big/big_aloo-methi-ki-tikki-(kebabs-and-tikkis-recipes)-1601.jpg?size=500X606,125668 times
107,Aloo Methi Tofu Parathas,"Aloo and methi are made-for-each-other, irrespective of the form in which they are cooked. With tofu, they become even more enticing! Although fenugreek makes an ideal combination, you can also replace it with other greens like palak for a change. I have not cooked the stuffing in this recipe; however if you want you can sauté the vegetables in oil and then add the rest of the ingredients. However, take care not to add the dry mango powder while sautéing the ingredients; add it at the last to retain its flavour. ",15,15,0,https://www.tarladalal.com/members/9306/big/big_aloo_methi_tofu_parathas-7292.jpg?size=500X651,65073 times
108,Aloo Mutter Korma in White Gravy,"A Punjabi delicacy, which is worthy of its fame across the world, the Aloo Mutter Korma in White Gravy features an ever-popular combination of vegetables in a luxuriant white gravy. The base of the gravy is a rich onion-cashew paste, which is perked up with whole spices, and complemented by rich ingredients like fresh cream and curds. The abundance of dairy products gives the white gravy a really creamy mouth-feel, while the whole spices and garam masala give it a peppy flavour befitting the potato-peas duo! Enjoy this korma hot with your favourite Rotis or Puris .",9,15,24,https://www.tarladalal.com/members/9306/big/big_aloo_mutter_korma_in_white_gravy-10265.jpg?size=696X905,41611 times
109,"Aloo Mutter Korma, Punjabi Aloo Matar Korma","Potato and green peas is an evergreen combination, which works effectively in varied dishes, ranging from salads and sandwiches to kormas and subzis . The contrasting textures and complementary flavours of the two vegetables have a very fulfilling effect on the taste buds, and this is proved once again in this recipe. The Aloo Mutter Korma is a delicious dish that combines potatoes and green peas with a range of flavour givers like tomatoes, onions, spice powders and pastes. A dash of garam masala adds josh to the korma making it a great hit with everybody. Enjoy other potato based dishes like the Bhojpuri Aloo and the Aloo Matar Tariwale .",14,15,29,"https://www.tarladalal.com/members/9306/big/big_aloo_mutter_korma,_punjabi_aloo_matar_korma-12807.jpg?size=696X905",159033 times
110,Aloo Mutter Moghlai,A north indian favourite. Cook the potatoes well and you will never go wrong in it. ,20,25,45,https://www.tarladalal.com/members/9306/big/big_aloo_mutter_moghlai-6867.jpg?size=500X650,61820 times
111,"Aloo Mutter Tariwale, Punjabi Tariwale Aloo Matar","This luscious Punjabi subzi features the standard combo of potato and peas, but in an enticing new form. Here, the duo is soaked in a tantalizing gravy of curds, spices and a special blend of  onions, cashewnuts, melon seeds and green chillies. With curds and fresh cream, the Aloo Mutter Tariwale has rich consistency that pleases the diner. Make sure you simmer for the required time so that the potatoes imbibe the flavours, but do not overdo it lest the curd becomes watery. Serve piping hot with Chapati , Hariyali Roti or Makhani Roti .",24,15,39,https://www.tarladalal.com/members/9306/big/big_aloo_mutter_tariwale_(_punjabi_subzi_recipe)-8411.jpg?size=696X905,53018 times
112,"Aloo Mutter,  Aloo Matar Subzi Recipe","Aloo Mutter is one of the most popular North Indian Subzis , loved by Indians across the globe. In this easy version, a salsa-like gravy of tomatoes, onions, ginger and green chillies cooked along with aromatic spice powders houses the ever popular combo of potatoes and green peas. Serve it piping hot with rotis or puris. ",20,10,30,https://www.tarladalal.com/members/9306/big/big_aloo_mutter_(_potatoes_subzi_recipe)-2511.jpg?size=500X645,322273 times
113,"Aloo Mutter,  Alu Matar Recipe",This is one dish that needs no introduction! an evergreen favourite among Indians of all age groups and ethnicities.,20,15,35,"https://www.tarladalal.com/members/9306/big/big_aloo_mutter,__alu_matar_recipe-10838.jpg?size=500X650",33847 times
114,"Aloo Mutter, Aloo Matar Pressure Cooker","Aloo mutter, one of the quickest vegetables to prepare, it will come to your rescue whenever you are pressed for time! Tomato puree gives a nice, evenly coated texture to this subzi.Try other recipes like Pindi Chole or Oondhiya.",20,15,35,"https://www.tarladalal.com/members/9306/big/big_aloo_mutter,_aloo_matar_pressure_cooker_recipe-13909.jpg?size=696X905",95869 times
115,"Aloo Pakora, Aloo Bhaji, Potato Pakoda","Monsoon is simply incomplete without Aloo Pakora! Potato slices, coated with a spicy batter and deep-fried, these pakoras give you everything your palate will ask for on a cool and rainy day – a dash of spice, lots of crunch and loads of fun. The best part is that it is quite easy to make, no rocket science really. Here’s how to make this scrumptious treat...",25,10,35,"https://www.tarladalal.com/members/9306/big/big_aloo_pakora,_aloo_bhaji,_potato_pakoda-13259.jpg?size=696X905",20919 times
116,Aloo Palak,"Always a great hit, potatoes and spinach come together yet again, in a Punjabi version of Aloo Palak. Once you have peeled and chopped the cooked potatoes and chopped the washed spinach, this dish is a breeze to prepare as it simply makes use of readily available spice powders and everyday ingredients. Simple though it sounds, the apt combination of ingredients results in a true tongue-tickler! Enjoy it hot with your favourite Indian bread.",12,15,27,https://www.tarladalal.com/members/9306/big/big_aloo_palak-9982.jpg?size=696X905,456291 times
117,Aloo Palak ( Microwave ),Aloo palak is a very easy and simple recipe with a combination of cubed potatoes and chopped spinach cooked with masalas and red dry chillies. Serve this subzi hot with rotis or parathas. ,8,20,28,https://www.tarladalal.com/members/9306/big/big_masaledar_aloo_palak-4928.jpg?size=500X650,24548 times
118,Aloo Palak Roti,"Potatoes by themselves are healthy and tasty if not deep fried. Add to this the goodness of spinach, yoghurt and wheat flour and you're left with nothing more to wish for!",20,15,35,https://www.tarladalal.com/members/9306/big/big_aloo_palak_roti-4667.jpg?size=696X905,69154 times
119,Aloo Palak Roti (  Kadhai and Tava Cooking Delights),"Potatoes themselves are a great value-add for any roti or subzi, and much loved by kids and adults alike. Add to this the goodness of fresh spinach, creamy yoghurt and energizing wheat flour, and there you have on the table a power-packed meal!",20,15,35,https://www.tarladalal.com/members/9306/big/big_aloo_palak_roti_(__kadhai_and_tava_cooking_delights)-7810.jpg?size=696X905,23737 times
120,Aloo Paneer Chaat,Fun-filled baby potatoes share the stage with calcium rich paneer in this lovely and lively chaat. The lemon juice and chaat masala lend their tangy touch to the otherwise bland ingredients. ,15,10,25,https://www.tarladalal.com/members/9306/big/big_aloo_paneer_chaat-10216.jpg?size=696X905,38767 times
121,Aloo Paneer Chaat ( Forever Young Recipes),"Snack on this lip-smacking, easy to cook chaat, which serves as a protein and calcium booster for your eyes. ",15,10,25,https://www.tarladalal.com/members/9306/big/big_aloo-paneer-chaat-(-forever-young-rrecipes)-1271.jpg?size=500X327,58744 times
122,Aloo Paneer Mutter Chaat,"A mouth-watering combo of succulent paneer, yummy potatoes and juicy green peas is perked up with tongue-tickling chutneys and spice powders to make a marvellous chaat. The characteristic touch of chaat masala makes the Aloo Paneer Mutter Chaat very chatpata, and the effect is increased with a squeeze of lemon! Enjoy this chaat immediately on preparation to relish the best textures. You can also try your hand at other chaats like Moong Sprouts and Potato Salli Chaat and Mixed Sprouts and Green Pea Chaat .",9,10,19,https://www.tarladalal.com/members/9306/big/big_aloo_paneer_chat-12410.jpg?size=696X905,63374 times
123,"Aloo Paratha,  Punjabi Aloo Paratha Recipe","Aloo Paratha is a dish wish a universal appeal! While north Indians like to have it any time of the day, for breakfast, lunch or dinner, South Indians too have borrowed this dish from the north and incorporated it into their supper and dinner menus. What makes these whole wheat parathas so appealing is the soft and tasty filling of potatoes flavoured with peppy spice powders and crunchy onions. Green chillies spike up the flavour of the stuffing, while amchur gives it an enjoyable tinge of tanginess. These Parathas taste best when served hot with Pickles / Aachar and curds, but they may also be carried in a dabba. ",30,10,40,https://www.tarladalal.com/members/9306/big/big_aloo_paratha-7707.jpg?size=696X905,597534 times
124,"Aloo Paratha, How To Make Aloo Paratha","A must-try recipe, which is an indispensable part of north Indian cuisine, where it is enjoyed any time of the day, for breakfast, lunch or dinner. Luscious whole wheat Parathas are stuffed with a succulent mixture of mashed potatoes flavoured perkily with green chillies, onions and all. A dash of amchur powder adds to the tanginess of the stuffing, making the Aloo Paratha a really tasty and satiating dish. Enjoy it fresh with curds and Pickles / Aachar . ",30,10,40,https://www.tarladalal.com/members/9306/big/big_aloo_parathas-8532.jpg?size=696X905,482444 times
125,Aloo Pethe ka Saag,Potatoes and pumpkin (petha) are favourite vegetables of the Rajasthanis and feature in different ways in their meals. Aloo Pethe ka Saag cooked with whole spices and curds can be relished with plain or stuffed puris. The addition of fennel gives this vegetable its characteristic Rajasthani flavour.,16,15,31,https://www.tarladalal.com/members/9306/big/big_aloo_pethe_ka_saag-11828.jpg?size=696X905,43854 times
126,Aloo Poshto,"A scrumptious Bengali delicacy of deep-fried potatoes coated with a lip-smacking masala of roasted poppy seeds and spicy green chillies. The aroma of roasted poppy seeds, the crispness of the potato cubes and the warm taste of green chillies on your palate makes the Aloo Poshto a really memorable dish. Serve it along with other Bengali classics like the Luchi ,  Baingan Bhaja and Bengali Matarsutir Dal to make a complete meal. ",6,10,16,https://www.tarladalal.com/members/9306/big/big_aloo_poshto_(_potatoes_recipe)-12278.jpg?size=696X905,72961 times
127,"Aloo Poshto, Bengali Sabzi",This traditional Bengali specialty is one of my favourite recipes and I recommend that you give this one a try. This recipe proves that poppy seeds and potatoes are a match made in heaven!try other Bengali subzis like Mulor Ghanto and Bengali Style Okra . ,15,10,25,https://www.tarladalal.com/members/9306/big/big_aloo_poshto_(_acidity_recipes)-12298.jpg?size=696X905,45487 times
128,"Aloo Poshto, Microwave Recipe","This all-time favourite Bengali dish can be made easily and quickly in the microwave oven. Aloo Poshto is a classic Bengali recipe of crisp potatoes coated with roasted and powdered poppy seeds and green chillies. The special aroma and texture of roasted poppy seeds, and the mild but lingering effect of chillies, make this dish very enjoyable. The potatoes are not too crunchy but they have a noticeably nice texture. Serve the Aloo Poshto immediately on preparation to enjoy the best texture and taste. Combine it with other Bengali delicacies like Bengali Style Okra and Bengali Matarsutir Dal to make a complete meal. ",12,10,22,https://www.tarladalal.com/members/9306/big/big_aloo_poshto_(_microwave_recipes)-12299.jpg?size=696X905,22930 times
129,Aloo Tikki,"Aloo tikki is a versatile and popular potato preparation, that can be had as it is, or as part of a gravy or a chaat  preparation. Here is a relatively simple version that you can prepare with readymade spice powders. If required, ask an elder to help you mash the potatoes. Cut the tikkis into different shapes using cookie cutters, to make them look more interesting. Cornflake Cookies , Jam Pinwheels , Cheese Garlic Buns , Quick Dahi Vada and Tacos with Baked Beans are a few more exciting recipes that kids will enjoy cooking with the help of elders.",5,10,15,https://www.tarladalal.com/members/9306/big/big_aloo_tikkis_(__cooking_with_kids)-10547.jpg?size=696X905,143031 times
130,Aloo Tikki ( Kebabs and Tikkis),"One of the most popular street foods, aloo tikki is an evergreen one too, loved by several generations of indians. Hot and crisp aloo tikkis are to be relished right off the tava, to warm your body and soul even on a cold, rainy day! here is how you can make wonderful aloo tikki in your own kitchen, with the right proportion of potatoes, peas, spices and garnishes. Share a joyous moment with your family, with plates of aloo tikki and hot masala chai. ",10,5,15,https://www.tarladalal.com/members/9306/big/big_aloo_tikki_(_kebabs_and_tikkis)-13733.jpg?size=696X905,507407 times
